Date,Adj Close
,META
2023-01-03,123.97571563720703
2023-01-04,126.58961486816406
2023-01-05,126.16223907470703
2023-01-06,129.223388671875
2023-01-09,128.67672729492188
2023-01-10,132.1751708984375
2023-01-11,132.0758056640625
2023-01-12,135.87240600585938
2023-01-13,136.14073181152344
2023-01-17,134.53065490722656
2023-01-18,132.20501708984375
2023-01-19,135.31582641601562
2023-01-20,138.51608276367188
2023-01-23,142.39219665527344
2023-01-24,142.2629852294922
2023-01-25,140.63302612304688
2023-01-26,146.39752197265625
2023-01-27,150.81028747558594
2023-01-30,146.15895080566406
2023-01-31,148.05726623535156
2023-02-01,152.18185424804688
2023-02-02,187.61341857910156
2023-02-03,185.3871307373047
2023-02-06,184.92001342773438
2023-02-07,190.44598388671875
2023-02-08,182.30613708496094
2023-02-09,176.8298797607422
2023-02-10,173.08297729492188
2023-02-13,178.3306427001953
2023-02-14,178.3803253173828
2023-02-15,176.0745391845703
2023-02-16,171.38345336914062
2023-02-17,171.82077026367188
2023-02-21,171.0256805419922
2023-02-22,170.07156372070312
2023-02-23,170.9859161376953
2023-02-24,169.3460235595703
2023-02-27,168.501220703125
2023-02-28,173.86813354492188
2023-03-01,172.3574676513672
2023-03-02,173.4606475830078
2023-03-03,184.114990234375
2023-03-06,183.7671356201172
2023-03-07,183.3795166015625
2023-03-08,183.83668518066406
2023-03-09,180.57679748535156
2023-03-10,178.41014099121094
2023-03-13,179.79164123535156
2023-03-14,192.8312530517578
2023-03-15,196.5384063720703
2023-03-16,203.67442321777344
2023-03-17,194.41151428222656
2023-03-20,196.59803771972656
2023-03-21,200.92138671875
2023-03-22,198.5857696533203
2023-03-23,203.0283660888672
2023-03-24,204.7477569580078
2023-03-27,201.5972137451172
2023-03-28,199.45045471191406
2023-03-29,204.09182739257812
2023-03-30,206.5665740966797
2023-03-31,210.64144897460938
2023-04-03,211.76455688476562
2023-04-04,213.40440368652344
2023-04-05,210.1842803955078
2023-04-06,214.77597045898438
2023-04-10,213.43426513671875
2023-04-11,212.53976440429688
2023-04-12,212.68881225585938
2023-04-13,218.99993896484375
2023-04-14,220.1329345703125
2023-04-17,217.51904296875
2023-04-18,216.5550079345703
2023-04-19,214.37841796875
2023-04-20,211.76455688476562
2023-04-21,211.5856170654297
2023-04-24,211.48623657226562
2023-04-25,206.27835083007812
2023-04-26,208.1170196533203
2023-04-27,237.0983428955078
2023-04-28,238.8475799560547
2023-05-01,241.69004821777344
2023-05-02,237.77418518066406
2023-05-03,235.5777130126953
2023-05-04,232.0892333984375
2023-05-05,231.353759765625
2023-05-08,231.8407745361328
2023-05-09,231.94015502929688
2023-05-10,231.65194702148438
2023-05-11,234.34532165527344
2023-05-12,232.37744140625
2023-05-15,237.39649963378906
2023-05-16,237.3567657470703
2023-05-17,241.00428771972656
2023-05-18,245.33753967285156
2023-05-19,244.13497924804688
2023-05-22,246.798583984375
2023-05-23,245.22824096679688
2023-05-24,247.68312072753906
2023-05-25,251.1417694091797
2023-05-26,260.43450927734375
2023-05-30,260.91156005859375
2023-05-31,263.09808349609375
2023-06-01,270.939697265625
2023-06-02,270.939697265625
2023-06-05,269.72723388671875
2023-06-06,269.4588928222656
2023-06-07,261.98492431640625
2023-06-08,262.9588928222656
2023-06-09,263.3266906738281
2023-06-12,269.3893127441406
2023-06-13,269.65765380859375
2023-06-14,271.67523193359375
2023-06-15,280.103271484375
2023-06-16,279.27838134765625
2023-06-20,282.58795166015625
2023-06-21,279.9144592285156
2023-06-22,283.1345520019531
2023-06-23,286.96099853515625
2023-06-26,276.76385498046875
2023-06-27,285.2912902832031
2023-06-28,283.54205322265625
2023-06-29,279.8050537109375
2023-06-30,285.2217102050781
2023-07-03,284.2675476074219
2023-07-05,292.5664367675781
2023-07-06,290.2009582519531
2023-07-07,288.74993896484375
2023-07-10,292.298095703125
2023-07-11,296.46240234375
2023-07-12,307.44464111328125
2023-07-13,311.48974609375
2023-07-14,306.9775695800781
2023-07-17,308.7168273925781
2023-07-18,310.1380920410156
2023-07-19,314.0738525390625
2023-07-20,300.6664733886719
2023-07-21,292.45709228515625
2023-07-24,289.82330322265625
2023-07-25,292.66583251953125
2023-07-26,296.7406921386719
2023-07-27,309.8001403808594
2023-07-28,323.48577880859375
2023-07-31,316.64801025390625
2023-08-01,320.7327575683594
2023-08-02,312.3842468261719
2023-08-03,311.2711486816406
2023-08-04,308.8262023925781
2023-08-07,314.6204833984375
2023-08-08,310.7244873046875
2023-08-09,303.3399658203125
2023-08-10,303.8667297363281
2023-08-11,299.7919006347656
2023-08-14,304.3139343261719
2023-08-15,300.1000061035156
2023-08-16,292.48687744140625
2023-08-17,283.3432922363281
2023-08-18,281.5145263671875
2023-08-21,288.123779296875
2023-08-22,285.8379211425781
2023-08-23,292.4372253417969
2023-08-24,284.9930725097656
2023-08-25,283.7507629394531
2023-08-28,288.4815979003906
2023-08-29,296.1642150878906
2023-08-30,293.2919616699219
2023-08-31,294.07708740234375
2023-09-01,294.5641174316406
2023-09-05,298.3110046386719
2023-09-06,297.3370361328125
2023-09-07,296.8400573730469
2023-09-08,296.0648498535156
2023-09-11,305.6756286621094
2023-09-12,299.811767578125
2023-09-13,303.1909484863281
2023-09-14,309.81011962890625
2023-09-15,298.47003173828125
2023-09-18,300.6963195800781
2023-09-19,303.20086669921875
2023-09-20,297.833984375
2023-09-21,293.9180603027344
2023-09-22,297.2475280761719
2023-09-25,298.98681640625
2023-09-26,297.1282958984375
2023-09-27,295.915771484375
2023-09-28,302.09765625
2023-09-29,298.37060546875
2023-10-02,304.940185546875
2023-10-03,299.09613037109375
2023-10-04,303.7077331542969
2023-10-05,302.9225769042969
2023-10-06,313.4973449707031
2023-10-09,316.409423828125
2023-10-10,319.86810302734375
2023-10-11,325.8114929199219
2023-10-12,322.17388916015625
2023-10-13,312.76190185546875
2023-10-16,319.18231201171875
2023-10-17,322.01483154296875
2023-10-18,315.0279235839844
2023-10-19,310.8934631347656
2023-10-20,306.75897216796875
2023-10-23,312.08612060546875
2023-10-24,310.6350402832031
2023-10-25,297.6947937011719
2023-10-26,286.5832824707031
2023-10-27,294.9119567871094
2023-10-30,300.8056335449219
2023-10-31,299.42413330078125
2023-11-01,309.9393005371094
2023-11-02,308.96533203125
2023-11-03,312.6724853515625
2023-11-06,313.8651123046875
2023-11-07,316.8666076660156
2023-11-08,317.8207702636719
2023-11-09,318.58599853515625
2023-11-10,326.7556457519531
2023-11-13,327.1730651855469
2023-11-14,334.2494201660156
2023-11-15,330.6715087890625
2023-11-16,332.1424865722656
2023-11-17,332.9872131347656
2023-11-20,337.8869934082031
2023-11-21,334.91534423828125
2023-11-22,339.3976745605469
2023-11-24,336.15771484375
2023-11-27,332.6493225097656
2023-11-28,336.9129943847656
2023-11-29,330.1646728515625
2023-11-30,325.14556884765625
2023-12-01,322.8298645019531
2023-12-04,318.0592346191406
2023-12-05,316.3398742675781
2023-12-06,315.5050048828125
2023-12-07,324.5889892578125
2023-12-08,330.71124267578125
2023-12-11,323.2870178222656
2023-12-12,332.1722717285156
2023-12-13,332.6890563964844
2023-12-14,331.1286926269531
2023-12-15,332.86798095703125
2023-12-18,342.508544921875
2023-12-19,348.21337890625
2023-12-20,347.1399841308594
2023-12-21,351.9205017089844
2023-12-22,351.22479248046875
2023-12-26,352.656005859375
2023-12-27,355.6376037597656
2023-12-28,356.1246032714844
2023-12-29,351.7912902832031
2024-01-02,344.1683044433594
2024-01-03,342.35943603515625
2024-01-04,344.9931945800781
2024-01-05,349.79364013671875
2024-01-08,356.4625549316406
2024-01-09,355.2400207519531
2024-01-10,368.2001647949219
2024-01-11,367.40509033203125
2024-01-12,372.19549560546875
2024-01-16,365.20855712890625
2024-01-17,366.113037109375
2024-01-18,373.825439453125
2024-01-19,381.1006164550781
2024-01-22,379.4408264160156
2024-01-23,382.83990478515625
2024-01-24,388.30621337890625
2024-01-25,390.7710266113281
2024-01-26,391.72515869140625
2024-01-29,398.5629577636719
2024-01-30,397.60882568359375
2024-01-31,387.7496032714844
2024-02-01,392.3612365722656
2024-02-02,472.07977294921875
2024-02-05,456.59521484375
2024-02-06,451.9339599609375
2024-02-07,466.71282958984375
2024-02-08,467.1203308105469
2024-02-09,465.24188232421875
2024-02-12,466.0270690917969
